Size(A)  Probability_real    Probability_expected
15.7875  0  1.13298e-08
15.8125  0  1.10291e-08
15.8375  0  1.07366e-08
15.8625  0  1.04521e-08
15.8875  0  1.01754e-08
15.9125  0  9.90618e-09
15.9375  0  9.64433e-09
15.9625  0  9.38961e-09
15.9875  0  9.14181e-09
16.0125  0  8.90075e-09
16.0375  0  8.66623e-09
16.0625  0  8.43808e-09
16.0875  0  8.21611e-09
16.1125  0  8.00015e-09
16.1375  0  7.79004e-09
16.1625  0  7.58562e-09
16.1875  0  7.38671e-09
16.2125  0  7.19318e-09
16.2375  0  7.00486e-09
16.2625  0  6.82163e-09
16.2875  0  6.64333e-09
16.3125  0  6.46982e-09
16.3375  0  6.30099e-09
16.3625  0  6.13669e-09
16.3875  0  5.9768e-09
16.4125  0  5.8212e-09
16.4375  0  5.66978e-09
16.4625  0  5.52241e-09
16.4875  0  5.37898e-09
16.5125  0  5.23939e-09
16.5375  0  5.10353e-09
16.5625  0  4.97129e-09
16.5875  0  4.84259e-09
16.6125  0  4.71731e-09
16.6375  0  4.59538e-09
16.6625  0  4.47669e-09
16.6875  0  4.36115e-09
16.7125  0  4.24869e-09
16.7375  0  4.13921e-09
16.7625  0  4.03263e-09
16.7875  0  3.92888e-09
16.8125  0  3.82788e-09
16.8375  0  3.72956e-09
16.8625  0  3.63383e-09
16.8875  0  3.54064e-09
16.9125  0  3.4499e-09
16.9375  0  3.36156e-09
16.9625  0  3.27555e-09
16.9875  0  3.1918e-09
17.0125  0  3.11026e-09
17.0375  0  3.03087e-09
17.0625  0  2.95356e-09
17.0875  0  2.87828e-09
17.1125  0  2.80498e-09
17.1375  0  2.7336e-09
17.1625  0  2.66409e-09
17.1875  0  2.59639e-09
17.2125  0  2.53048e-09
17.2375  0  2.46628e-09
17.2625  0  2.40376e-09
17.2875  0  2.34287e-09
17.3125  0  2.28357e-09
17.3375  0  2.22582e-09
17.3625  0  2.16957e-09
17.3875  0  2.11478e-09
17.4125  0  2.06142e-09
17.4375  0  2.00944e-09
17.4625  0  1.95882e-09
17.4875  0  1.9095e-09
17.5125  0  1.86147e-09
17.5375  0  1.81468e-09
17.5625  0  1.7691e-09
17.5875  0  1.7247e-09
17.6125  0  1.68144e-09
17.6375  0  1.63931e-09
17.6625  0  1.59826e-09
17.6875  0  1.55826e-09
17.7125  0  1.5193e-09
17.7375  0  1.48135e-09
17.7625  0  1.44436e-09
17.7875  0  1.40833e-09
17.8125  0  1.37323e-09
17.8375  0  1.33902e-09
17.8625  0  1.3057e-09
17.8875  0  1.27322e-09
17.9125  0  1.24158e-09
17.9375  0  1.21075e-09
17.9625  0  1.1807e-09
17.9875  0  1.15143e-09
18.0125  0  1.1229e-09
18.0375  0  1.0951e-09
18.0625  0  1.068e-09
18.0875  0  1.0416e-09
18.1125  0  1.01587e-09
18.1375  0  9.90795e-10
18.1625  0  9.66356e-10
18.1875  0  9.42538e-10
18.2125  0  9.19324e-10
18.2375  0  8.96699e-10
18.2625  0  8.74647e-10
18.2875  0  8.53153e-10
18.3125  0  8.32203e-10
18.3375  0  8.11783e-10
18.3625  0  7.91879e-10
18.3875  0  7.72477e-10
18.4125  0  7.53564e-10
18.4375  0  7.35128e-10
18.4625  0  7.17157e-10
18.4875  0  6.99638e-10
18.5125  0  6.82559e-10
18.5375  0  6.6591e-10
18.5625  0  6.49679e-10
18.5875  0  6.33855e-10
18.6125  0  6.18428e-10
18.6375  0  6.03387e-10
18.6625  0  5.88723e-10
18.6875  0  5.74426e-10
18.7125  0  5.60486e-10
18.7375  0  5.46895e-10
18.7625  0  5.33643e-10
18.7875  0  5.20721e-10
18.8125  0  5.08122e-10
18.8375  0  4.95836e-10
18.8625  0  4.83856e-10
18.8875  0  4.72175e-10
18.9125  0  4.60783e-10
18.9375  0  4.49674e-10
18.9625  0  4.38842e-10
18.9875  0  4.28277e-10
19.0125  0  4.17975e-10
19.0375  0  4.07928e-10
19.0625  0  3.98129e-10
19.0875  0  3.88573e-10
19.1125  0  3.79253e-10
19.1375  0  3.70162e-10
19.1625  0  3.61297e-10
19.1875  0  3.52649e-10
19.2125  0  3.44215e-10
19.2375  0  3.35989e-10
19.2625  0  3.27965e-10
19.2875  0  3.20138e-10
19.3125  0  3.12503e-10
19.3375  0  3.05056e-10
19.3625  0  2.97792e-10
19.3875  0  2.90705e-10
19.4125  0  2.83793e-10
19.4375  0  2.77049e-10
19.4625  0  2.7047e-10
19.4875  0  2.64053e-10
19.5125  0  2.57792e-10
19.5375  0  2.51683e-10
19.5625  0  2.45724e-10
19.5875  0  2.3991e-10
19.6125  0  2.34238e-10
19.6375  0  2.28703e-10
19.6625  0  2.23304e-10
19.6875  0  2.18035e-10
19.7125  0  2.12895e-10
19.7375  0  2.07879e-10
19.7625  0  2.02985e-10
19.7875  0  1.98209e-10
19.8125  0  1.93549e-10
19.8375  0  1.89002e-10
19.8625  0  1.84565e-10
19.8875  0  1.80235e-10
19.9125  0  1.7601e-10
19.9375  0  1.71886e-10
19.9625  0  1.67862e-10
19.9875  0  1.63935e-10
20.0125  0  1.60103e-10
20.0375  0  1.56362e-10
20.0625  0  1.52712e-10
20.0875  0  1.4915e-10
20.1125  0  1.45673e-10
20.1375  0  1.42279e-10
20.1625  0  1.38967e-10
20.1875  0  1.35734e-10
20.2125  0  1.32578e-10
20.2375  0  1.29499e-10
20.2625  0  1.26492e-10
20.2875  0  1.23558e-10
20.3125  0  1.20693e-10
20.3375  0  1.17897e-10
20.3625  0  1.15168e-10
20.3875  0  1.12504e-10
20.4125  0  1.09903e-10
20.4375  0  1.07364e-10
20.4625  0  1.04885e-10
20.4875  0  1.02465e-10
20.5125  0  1.00103e-10
20.5375  0  9.77969e-11
20.5625  0  9.55453e-11
20.5875  0  9.33472e-11
20.6125  0  9.1201e-11
20.6375  0  8.91057e-11
20.6625  0  8.70599e-11
20.6875  0  8.50624e-11
20.7125  0  8.31121e-11
20.7375  0  8.12079e-11
20.7625  0  7.93485e-11
20.7875  0  7.7533e-11
20.8125  0  7.57602e-11
20.8375  0  7.40291e-11
20.8625  0  7.23387e-11
20.8875  0  7.06881e-11
20.9125  0  6.90762e-11
20.9375  0  6.75022e-11
20.9625  0  6.59651e-11
20.9875  0  6.4464e-11
21.0125  0  6.2998e-11
21.0375  0  6.15664e-11
21.0625  0  6.01682e-11
21.0875  0  5.88027e-11
21.1125  0  5.74692e-11
21.1375  0  5.61667e-11
21.1625  0  5.48946e-11
21.1875  0  5.36522e-11
21.2125  0  5.24387e-11
21.2375  0  5.12535e-11
21.2625  0  5.00958e-11
21.2875  0  4.8965e-11
21.3125  0  4.78605e-11
21.3375  0  4.67817e-11
21.3625  0  4.57279e-11
21.3875  0  4.46985e-11
21.4125  0  4.36929e-11
21.4375  0  4.27107e-11
21.4625  0  4.17511e-11
21.4875  0  4.08138e-11
21.5125  0  3.98981e-11
21.5375  0  3.90035e-11
21.5625  0  3.81296e-11
21.5875  0  3.72758e-11
21.6125  0  3.64417e-11
21.6375  0  3.56269e-11
21.6625  0  3.48307e-11
21.6875  0  3.40529e-11
21.7125  0  3.3293e-11
21.7375  0  3.25505e-11
21.7625  0  3.1825e-11
21.7875  0  3.11162e-11
21.8125  0  3.04236e-11
21.8375  0  2.97469e-11
21.8625  0  2.90857e-11
21.8875  0  2.84396e-11
21.9125  0  2.78083e-11
21.9375  0  2.71914e-11
21.9625  0  2.65886e-11
21.9875  0  2.59995e-11
22.0125  0  2.54239e-11
22.0375  0  2.48613e-11
22.0625  0  2.43116e-11
22.0875  0  2.37744e-11
22.1125  0  2.32494e-11
22.1375  0  2.27364e-11
22.1625  0  2.22349e-11
22.1875  0  2.17449e-11
22.2125  0  2.1266e-11
22.2375  0  2.07979e-11
22.2625  0  2.03405e-11
22.2875  0  1.98934e-11
22.3125  0  1.94564e-11
22.3375  0  1.90292e-11
22.3625  0  1.86118e-11
22.3875  0  1.82037e-11
22.4125  0  1.78049e-11
22.4375  0  1.7415e-11
22.4625  0  1.7034e-11
22.4875  0  1.66615e-11
22.5125  0  1.62974e-11
22.5375  0  1.59415e-11
22.5625  0  1.55935e-11
22.5875  0  1.52534e-11
22.6125  0  1.4921e-11
22.6375  0  1.45959e-11
22.6625  0  1.42782e-11
22.6875  0  1.39676e-11
22.7125  0  1.36639e-11
22.7375  0  1.33671e-11
22.7625  0  1.30768e-11
22.7875  0  1.27931e-11
22.8125  0  1.25157e-11
22.8375  0  1.22445e-11
22.8625  0  1.19793e-11
22.8875  0  1.172e-11
22.9125  0  1.14665e-11
22.9375  0  1.12187e-11
22.9625  0  1.09763e-11
22.9875  0  1.07394e-11
23.0125  0  1.05077e-11
23.0375  0  1.02811e-11
23.0625  0  1.00596e-11
23.0875  0  9.843e-12
23.1125  0  9.63119e-12
23.1375  0  9.42406e-12
23.1625  0  9.22152e-12
23.1875  0  9.02346e-12
23.2125  0  8.82978e-12
23.2375  0  8.64037e-12
23.2625  0  8.45515e-12
23.2875  0  8.274e-12
23.3125  0  8.09686e-12
23.3375  0  7.92361e-12
23.3625  0  7.75418e-12
23.3875  0  7.58847e-12
23.4125  0  7.42641e-12
23.4375  0  7.26791e-12
23.4625  0  7.11289e-12
23.4875  0  6.96127e-12
23.5125  0  6.81298e-12
23.5375  0  6.66794e-12
23.5625  0  6.52607e-12
23.5875  0  6.38731e-12
23.6125  0  6.25158e-12
23.6375  0  6.11882e-12
23.6625  0  5.98897e-12
23.6875  0  5.86194e-12
23.7125  0  5.73769e-12
23.7375  0  5.61615e-12
23.7625  0  5.49726e-12
23.7875  0  5.38096e-12
23.8125  0  5.26718e-12
23.8375  0  5.15589e-12
23.8625  0  5.04701e-12
23.8875  0  4.9405e-12
23.9125  0  4.8363e-12
23.9375  0  4.73436e-12
23.9625  0  4.63463e-12
23.9875  0  4.53706e-12
24.0125  0  4.44161e-12
24.0375  0  4.34822e-12
24.0625  0  4.25685e-12
24.0875  0  4.16746e-12
24.1125  0  4.08e-12
24.1375  0  3.99442e-12
24.1625  0  3.9107e-12
24.1875  0  3.82878e-12
24.2125  0  3.74862e-12
24.2375  0  3.67019e-12
24.2625  0  3.59345e-12
24.2875  0  3.51836e-12
