Size(A)  Probability_real    Probability_expected
15.4375  0  2.8891e-13
15.4625  0  2.78935e-13
15.4875  0  2.69314e-13
15.5125  0  2.60033e-13
15.5375  0  2.51081e-13
15.5625  0  2.42446e-13
15.5875  0  2.34117e-13
15.6125  0  2.26081e-13
15.6375  0  2.18329e-13
15.6625  0  2.1085e-13
15.6875  0  2.03634e-13
15.7125  0  1.96672e-13
15.7375  0  1.89954e-13
15.7625  0  1.83473e-13
15.7875  0  1.77218e-13
15.8125  0  1.71183e-13
15.8375  0  1.65359e-13
15.8625  0  1.59739e-13
15.8875  0  1.54315e-13
15.9125  0  1.4908e-13
15.9375  0  1.44027e-13
15.9625  0  1.39151e-13
15.9875  0  1.34444e-13
16.0125  0  1.29901e-13
16.0375  0  1.25516e-13
16.0625  0  1.21283e-13
16.0875  0  1.17196e-13
16.1125  0  1.13251e-13
16.1375  0  1.09442e-13
16.1625  0  1.05765e-13
16.1875  0  1.02215e-13
16.2125  0  9.87878e-14
16.2375  0  9.54783e-14
16.2625  0  9.22827e-14
16.2875  0  8.9197e-14
16.3125  0  8.62174e-14
16.3375  0  8.334e-14
16.3625  0  8.05613e-14
16.3875  0  7.78778e-14
16.4125  0  7.52861e-14
16.4375  0  7.27831e-14
16.4625  0  7.03655e-14
16.4875  0  6.80305e-14
16.5125  0  6.57751e-14
16.5375  0  6.35965e-14
16.5625  0  6.1492e-14
16.5875  0  5.94591e-14
16.6125  0  5.74953e-14
16.6375  0  5.55981e-14
16.6625  0  5.37652e-14
16.6875  0  5.19944e-14
16.7125  0  5.02835e-14
16.7375  0  4.86305e-14
16.7625  0  4.70333e-14
16.7875  0  4.549e-14
16.8125  0  4.39987e-14
16.8375  0  4.25577e-14
16.8625  0  4.11651e-14
16.8875  0  3.98194e-14
16.9125  0  3.85188e-14
16.9375  0  3.72619e-14
16.9625  0  3.60472e-14
16.9875  0  3.48731e-14
17.0125  0  3.37383e-14
17.0375  0  3.26415e-14
17.0625  0  3.15812e-14
17.0875  0  3.05564e-14
17.1125  0  2.95657e-14
17.1375  0  2.86081e-14
17.1625  0  2.76822e-14
17.1875  0  2.67872e-14
17.2125  0  2.59219e-14
17.2375  0  2.50853e-14
17.2625  0  2.42765e-14
17.2875  0  2.34944e-14
17.3125  0  2.27383e-14
17.3375  0  2.20071e-14
17.3625  0  2.13001e-14
17.3875  0  2.06164e-14
