Size(A)  Probability_real    Probability_expected
12.6375  0  3.53881e-13
12.6625  0  3.39015e-13
12.6875  0  3.24791e-13
12.7125  0  3.1118e-13
12.7375  0  2.98155e-13
12.7625  0  2.8569e-13
12.7875  0  2.73761e-13
12.8125  0  2.62343e-13
12.8375  0  2.51415e-13
12.8625  0  2.40954e-13
12.8875  0  2.30941e-13
12.9125  0  2.21355e-13
12.9375  0  2.12178e-13
12.9625  0  2.03391e-13
12.9875  0  1.94979e-13
13.0125  0  1.86924e-13
13.0375  0  1.79211e-13
13.0625  0  1.71825e-13
13.0875  0  1.64752e-13
13.1125  0  1.57978e-13
13.1375  0  1.5149e-13
13.1625  0  1.45275e-13
13.1875  0  1.39323e-13
13.2125  0  1.33621e-13
13.2375  0  1.28159e-13
13.2625  0  1.22927e-13
13.2875  0  1.17913e-13
13.3125  0  1.1311e-13
13.3375  0  1.08508e-13
13.3625  0  1.04098e-13
13.3875  0  9.98725e-14
13.4125  0  9.58231e-14
13.4375  0  9.19423e-14
13.4625  0  8.82229e-14
13.4875  0  8.46582e-14
13.5125  0  8.12413e-14
13.5375  0  7.79662e-14
13.5625  0  7.48267e-14
13.5875  0  7.1817e-14
13.6125  0  6.89317e-14
13.6375  0  6.61655e-14
13.6625  0  6.35133e-14
13.6875  0  6.09704e-14
13.7125  0  5.8532e-14
13.7375  0  5.61938e-14
13.7625  0  5.39515e-14
13.7875  0  5.18011e-14
13.8125  0  4.97388e-14
13.8375  0  4.77608e-14
13.8625  0  4.58636e-14
13.8875  0  4.40438e-14
13.9125  0  4.22982e-14
13.9375  0  4.06237e-14
13.9625  0  3.90172e-14
13.9875  0  3.7476e-14
14.0125  0  3.59974e-14
14.0375  0  3.45786e-14
14.0625  0  3.32173e-14
14.0875  0  3.1911e-14
14.1125  0  3.06575e-14
14.1375  0  2.94546e-14
14.1625  0  2.83002e-14
14.1875  0  2.71922e-14
14.2125  0  2.61288e-14
14.2375  0  2.51081e-14
14.2625  0  2.41283e-14
14.2875  0  2.31878e-14
14.3125  0  2.2285e-14
14.3375  0  2.14183e-14
14.3625  0  2.05861e-14
14.3875  0  1.97872e-14
14.4125  0  1.90202e-14
14.4375  0  1.82836e-14
14.4625  0  1.75764e-14
14.4875  0  1.68973e-14
14.5125  0  1.62451e-14
14.5375  0  1.56188e-14
14.5625  0  1.50172e-14
14.5875  0  1.44395e-14
14.6125  0  1.38846e-14
14.6375  0  1.33516e-14
14.6625  0  1.28396e-14
14.6875  0  1.23477e-14
14.7125  0  1.18752e-14
14.7375  0  1.14213e-14
14.7625  0  1.09852e-14
14.7875  0  1.05662e-14
14.8125  0  1.01636e-14
14.8375  0  9.7768e-15
14.8625  0  9.40509e-15
14.8875  0  9.04789e-15
14.9125  0  8.70461e-15
14.9375  0  8.37472e-15
14.9625  0  8.05766e-15
14.9875  0  7.75293e-15
15.0125  0  7.46003e-15
15.0375  0  7.1785e-15
15.0625  0  6.90788e-15
15.0875  0  6.64773e-15
15.1125  0  6.39765e-15
15.1375  0  6.15722e-15
15.1625  0  5.92607e-15
15.1875  0  5.70384e-15
15.2125  0  5.49016e-15
15.2375  0  5.2847e-15
15.2625  0  5.08714e-15
15.2875  0  4.89716e-15
15.3125  0  4.71446e-15
15.3375  0  4.53877e-15
15.3625  0  4.36979e-15
15.3875  0  4.20728e-15
15.4125  0  4.05097e-15
15.4375  0  3.90063e-15
15.4625  0  3.75601e-15
15.4875  0  3.6169e-15
15.5125  0  3.48308e-15
15.5375  0  3.35435e-15
15.5625  0  3.23049e-15
15.5875  0  3.11134e-15
15.6125  0  2.9967e-15
15.6375  0  2.88639e-15
15.6625  0  2.78025e-15
15.6875  0  2.67812e-15
15.7125  0  2.57985e-15
15.7375  0  2.48527e-15
15.7625  0  2.39426e-15
15.7875  0  2.30666e-15
